公司简称,变动数量(万股),占总股本比例,变动后持股总数(万股),变动后占总股本比例,涨跌幅
ST顺利,29664.3842,31.9077,60598.0679,1.9804444444444445,-1.3635416666666667
ST高升,19839.4067,20.9508,103348.8607,3.29,-2.2025
ST龙韵,3971.3912,40.7402,18909.6396,4.107735849056604,-0.08103448275862066
TCL科技,307904.7785,22.4025,2160998.3772,2.9251785714285714,1.531864406779661
一品红,577.3076,2.0010000000000003,4294.713400000001,3.7199999999999998,0.33499999999999996
一汽富维,19440.514199999998,36.5055,56556.7368,6.273333333333333,-1.2862500000000001
一汽解放,80.0,0.04,80.0,0.02,-0.05000000000000002
七一二,25318.0,32.7898,391740.88,25.369,0.25
七匹狼,20476.0432,27.1101,72105.1268,3.9754166666666664,-0.05666666666666659
七彩化学,4077.0231,22.6893,48759.8149,3.4135164835164833,-1.992020202020202
万业企业,6483.44,7.8328,180457.77730000002,14.599285714285715,2.535
万东医疗,18754.5843,29.5023,296397.4621,15.642820512820514,-0.24819999999999992
万丰奥威,111687.5084,66.4522,756663.0383,7.2668,-9.900990099010075e-05
万兴科技,9511.6215,74.4314,173915.0564,6.5573202614379085,0.5176246334310849
万华化学,4391.9637,0.36869999999999997,5200.7880000000005,0.8000000000000002,-1.9333333333333333
万向德农,5092.0,24.8886,85703.4712,52.3625,-0.05000000000000002
万向钱潮,21446.115999999998,7.9549,2066288.4363,38.1985,0.2985714285714286
万孚生物,14680.7164,38.4629,505874.847,10.805535714285714,-1.2829479768786127
万安科技,513.97,1.0577999999999999,2208.2382,0.35214285714285715,-0.7071428571428572
万德斯,399.7458,4.7104,4923.875,3.6225,-0.14625
万方发展,618.8,1.9986,5461.46,4.41,0.855
万林物流,20738.7997,29.0792,281682.1516,3.850143884892086,-0.4893793103448276
万泽股份,3797.2870000000003,7.6996,43848.4397,3.8713043478260873,-2.3443478260869566
万润科技,29079.9481,31.5521,1877395.8668,13.412738853503186,-0.4234408602150537
万润股份,6487.0389,8.952,1004409.5478000001,7.250322580645161,0.07941935483870965
万盛股份,5108.0905,15.0168,6516.0905,2.1333333333333333,-0.632
万科A,2587186.0517,180.2459,7502890.3952,2.402843137254902,-1.927325905292479
万讯自控,2790.0,13.8116,49046.83,11.074545454545454,-1.5386363636363638
